DEPT,TENS,BHVT,AHVT,BS,GR,CALI,RHOB,NPHI,LLD,LLS,MSFL,SP,DHTN
8460.75,1326.7332,1075.3259,414.3802,12.25,104.1693,12.5934,2.2782,33.7296,2.3304,1.8341,0.9818,130.8817,1659.0975
8461,1323.7698,1075.3259,414.3802,12.25,102.3639,12.5934,2.2782,36.1347,2.4483,1.7956,0.9818,130.8817,1659.0975
8461.25,1320.132,1074.8945,414.2015,12.25,102.3639,12.7364,2.2805,36.1347,2.4483,1.7956,0.8137,131.8142,1665.2545
8461.5,1319.3068,1074.8945,414.2015,12.25,101.2596,12.7364,2.2805,37.7316,2.5522,1.9483,0.8137,131.8142,1665.2545
8461.75,1321.6403,1074.4448,414.0045,12.25,101.2596,12.7776,2.3088,37.7316,2.5522,1.9483,1.1655,131.4775,1665.2545
8462,1324.9143,1074.4448,414.0045,12.25,101.4289,12.7776,2.3088,37.9409,2.8127,1.92,1.1655,131.4775,1661.995
8462.25,1327.5316,1074.0117,413.824,12.25,101.4289,12.4861,2.3446,37.9409,2.8127,1.92,1.9212,132.2196,1661.995
8462.5,1329.8208,1074.0117,413.824,12.25,98.6078,12.4861,2.3446,31.2504,3.579,2.129,1.9212,132.2196,1645.6969
8462.75,1333.4497,1073.5862,413.651,12.25,98.6078,12.4077,2.3774,31.2504,3.579,2.129,2.463,134.0714,1645.6969
8463,1336.2179,1073.5862,413.651,12.25,92.6353,12.4077,2.3774,27.0873,5.839,3.4822,2.463,134.0714,1645.6969
8463.25,1337.4156,1073.1664,413.484,12.25,92.6353,12.4614,2.4238,27.0873,5.839,3.4822,4.4968,133.9318,1663.4435
8463.5,1335.6766,1073.1664,413.484,12.25,84.8008,12.4614,2.4238,21.1411,7.8092,4.7982,4.4968,133.9318,1663.4435
8463.75,1332.314,1072.7428,413.3131,12.25,84.8008,12.4614,2.5033,21.1411,7.8092,4.7982,6.0238,132.7466,1673.9468
8464,1326.9993,1072.7428,413.3131,12.25,80.3677,12.4614,2.5033,19.1164,8.7809,6.034,6.0238,132.7466,1673.9468
8464.25,1323.0687,1072.3192,413.1423,12.25,80.3677,12.4614,2.5573,19.1164,8.7809,6.034,5.212,132.8941,1673.9468
8464.5,1320.3805,1072.3192,413.1423,12.25,79.9083,12.4614,2.5573,22.5202,7.7953,4.9015,5.212,132.8941,1673.9468
8464.75,1318.2067,1071.8956,412.9715,12.25,79.9083,12.4366,2.5028,22.5202,7.7953,4.9015,2.9225,134.0057,1672.1359
8465,1317.2396,1071.8956,412.9715,12.25,80.9481,12.4366,2.5028,23.5181,6.3462,3.8844,2.9225,134.0057,1672.1359
8465.25,1316.3967,1071.4761,412.8046,12.25,80.9481,12.3293,2.3944,23.5181,6.3462,3.8844,1.804,136.3115,1653.3026
8465.5,1315.7933,1071.4761,412.8046,12.25,82.5762,12.3293,2.3944,23.8233,5.2709,3.2706,1.804,136.3115,1653.3026
8465.75,1315.5981,1071.0619,412.6431,12.25,82.5762,12.2963,2.343,23.8233,5.2709,3.2706,1.6909,137.994,1653.3026
8466,1315.0746,1071.0619,412.6431,12.25,85.5746,12.2963,2.343,25.7018,4.8207,2.9446,1.6909,137.994,1635.9181
8466.25,1314.0366,1070.6494,412.4833,12.25,85.5746,12.3005,2.3476,25.7018,4.8207,2.9446,1.7828,138.5029,1635.9181
8466.5,1313.1849,1070.6494,412.4833,12.25,84.6396,12.3005,2.3476,25.8269,4.8027,2.7133,1.7828,138.5029,1628.3123
8466.75,1314.6133,1070.235,412.3215,12.25,84.6396,12.3335,2.349,25.8269,4.8027,2.7133,1.5936,140.5068,1628.3123
8467,1317.0887,1070.235,412.3215,12.25,81.1737,12.3335,2.349,26.022,4.6056,2.6748,1.5936,140.5068,1628.3123
8467.25,1321.3386,1069.8203,412.1595,12.25,81.1737,12.3293,2.3502,26.022,4.6056,2.6748,1.2762,141.7829,1628.3123
8467.5,1326.0588,1069.8203,412.1595,12.25,76.1764,12.3293,2.3502,25.9638,4.5021,2.6745,1.2762,141.7829,1622.8795
8467.75,1331.0186,1069.4063,411.998,12.25,76.1764,12.3018,2.3618,25.9638,4.5021,2.6745,1.2975,141.0805,1622.8795
8468,1333.6537,1069.4063,411.998,12.25,69.5913,12.3018,2.3618,24.5212,4.6627,2.8009,1.2975,141.0805,1632.6584
8468.25,1334.4344,1068.9938,411.8381,12.25,69.5913,12.3018,2.3415,24.5212,4.6627,2.8009,1.3289,140.3291,1632.6584
8468.5,1332.7842,1068.9938,411.8381,12.25,69.68,12.3018,2.3415,25.3246,4.7547,2.9314,1.3289,140.3291,1632.6584
8468.75,1326.121,1068.5811,411.6779,12.25,69.68,12.3046,2.3038,25.3246,4.7547,2.9314,1.4683,139.5666,1652.5782
8469,1318.6858,1068.5811,411.6779,12.25,75.8943,12.3046,2.3038,27.6915,4.5819,2.9307,1.4683,139.5666,1652.5782
8469.25,1313.5308,1068.1682,411.5177,12.25,75.8943,12.3046,2.3083,27.6915,4.5819,2.9307,1.6033,137.4561,1658.7354
8469.5,1311.3838,1068.1682,411.5177,12.25,80.2549,12.3046,2.3083,28.1023,4.1395,2.7455,1.6033,137.4561,1658.7354
8469.75,1310.6472,1067.756,411.3581,12.25,80.2549,12.2881,2.3516,28.1023,4.1395,2.7455,1.8713,135.4757,1658.7354
8470,1311.7919,1067.756,411.3581,12.25,85.4376,12.2881,2.3516,31.4208,3.5867,2.3439,1.8713,135.4757,1637.3667
8470.25,1313.7172,1067.344,411.1988,12.25,85.4376,12.3871,2.3925,31.4208,3.5867,2.3439,1.864,134.2618,1637.3667
8470.5,1316.0773,1067.344,411.1988,12.25,93.2237,12.3871,2.3925,31.4535,3.4243,2.0812,1.864,134.2618,1616.3604
8470.75,1316.5564,1066.9272,411.0347,12.25,93.2237,12.3403,2.411,31.4535,3.4243,2.0812,1.8249,133.2668,1616.3604
8471,1316.9911,1066.9272,411.0347,12.25,96.222,12.3403,2.411,32.9728,3.4517,2.2636,1.8249,133.2668,1616.3604
8471.25,1317.5945,1066.5098,410.8699,12.25,96.222,12.4201,2.4138,32.9728,3.4517,2.2636,1.913,133.7518,1616.3604
8471.5,1318.3575,1066.5098,410.8699,12.25,93.401,12.4201,2.4138,36.1459,3.3405,2.1235,1.913,133.7518,1611.2899
8471.75,1316.4321,1066.0891,410.7019,12.25,93.401,12.4146,2.418,36.1459,3.3405,2.1235,2.2611,134.565,1611.2899
8472,1314.1786,1066.0891,410.7019,12.25,94.3118,12.4146,2.418,33.5642,3.3067,2.2451,2.2611,134.565,1619.6201
8472.25,1312.1112,1065.6687,410.5342,12.25,94.3118,12.4201,2.4252,33.5642,3.3067,2.2451,2.3374,136.7418,1619.6201
